Category	Segment number	Segment Good	Eye Blinks	Eye Movements	Bad Channels
Lag2Baseline	1	true	false	false	49
Lag2Baseline	2	true	false	false	49
Lag2Baseline	3	true	false	false	49, 57
Lag2Baseline	4	true	false	false	49, 57
Lag2Baseline	5	true	false	false	49
Lag2Baseline	6	true	false	false	49, 57
Lag2Baseline	7	true	false	false	49, 56
Lag2Baseline	8	true	false	false	49, 56
Lag2Baseline	9	true	false	false	49
Lag2Baseline	10	true	false	false	49
Lag2Baseline	11	true	false	false	49
Lag2Baseline	12	true	false	false	49, 120
Lag2Baseline	13	true	false	false	49
Lag2Baseline	14	true	false	false
Lag2Baseline	15	true	false	false	40
Lag2Baseline	16	true	false	false	40
Lag2Baseline	17	true	false	false	40, 57, 120
Lag2Baseline	18	true	false	false	40, 44, 57, 120
Lag2Baseline	19	true	false	false	40, 57, 120
Lag2Baseline	20	true	false	false	40, 44, 57, 120
Lag2Baseline	21	true	false	false	40, 57, 73, 120
Lag2Baseline	22	true	false	false	40, 57, 73, 120
Lag2Baseline	23	true	false	false	40, 57, 73, 120
Lag2Baseline	24	true	false	false	40, 50, 57, 73, 120
Lag2Baseline	25	true	false	false	40, 50, 57, 63, 73, 120
Lag2Baseline	26	true	false	false	4, 40, 50, 57, 63, 73, 107, 120
Lag2Baseline	27	true	false	false	40, 50, 57, 73, 120
Lag2Baseline	28	true	false	false	40, 50, 57, 63, 68, 73, 120
Lag2Baseline	29	true	false	false	29, 40, 50, 57, 63, 73, 120
Lag2Baseline	30	true	false	false	40, 50, 57, 63, 73, 120
Lag2Baseline	31	true	false	false	40, 45, 50, 57, 63, 73, 120
Lag2Baseline	32	true	false	false	40, 50, 57, 63, 73, 120
Lag2Baseline	33	true	false	false	40, 50, 57, 63, 68, 73, 120
Lag2Baseline	34	true	false	false	40, 50, 56, 57, 63, 68, 73, 120
Lag2Baseline	35	true	false	false	15, 26, 40, 50, 57, 63, 68, 73, 120
Lag2Baseline	36	false	false	false	30, 36, 37, 40, 41, 45, 46, 50, 57, 63, 68, 73, 99, 120
Lag2Baseline	37	true	false	false	30, 40, 50, 57, 63, 68, 73, 99, 120
Lag2Baseline	38	true	false	false	40, 45, 50, 57, 63, 68, 73, 120
Lag2Baseline	39	true	false	false	40, 44, 50, 56, 57, 63, 68, 73, 99, 120
